,Anon,kolejności,Data zakupu,bottle_filter_units,next_purchase_date,days_until_next_purchase,filter_retention_days
2027,ANON_1903,131345738,2023-08-10,5,2023-08-26,16.0,3.2
2222,ANON_1903,134863551,2023-08-26,6,2024-06-02,281.0,46.833333333333336
2037,ANON_1911,131556525,2023-08-11,10,2024-01-12,154.0,15.4
4277,ANON_1911,170085752,2024-01-12,6,2024-03-05,53.0,8.833333333333334
2039,ANON_1912,131581706,2023-08-11,2,2024-02-11,184.0,92.0
5616,ANON_1925,187779978,2024-04-03,14,2024-04-07,4.0,0.2857142857142857
2063,ANON_1934,132060505,2023-08-14,5,2023-11-01,79.0,15.8
3211,ANON_1934,150609448,2023-11-01,7,2024-08-17,290.0,41.42857142857143
2072,ANON_1942,132250833,2023-08-15,2,2023-10-10,56.0,28.0
2081,ANON_1951,132397601,2023-08-15,3,2023-12-22,129.0,43.0
3978,ANON_1951,166256290,2023-12-22,3,2024-07-08,199.0,66.33333333333333
2083,ANON_1953,132434957,2023-08-15,6,2024-05-17,276.0,46.0
6327,ANON_1953,197555849,2024-05-17,6,2024-09-14,120.0,20.0
2086,ANON_1956,132522969,2023-08-16,2,2023-09-13,28.0,14.0
2108,ANON_1973,132877686,2023-08-17,5,2025-05-29,651.0,130.2
2115,ANON_1980,133033924,2023-08-18,1,2025-07-21,703.0,703.0
2116,ANON_1981,133059218,2023-08-18,6,2025-08-27,740.0,123.33333333333333
2119,ANON_1984,133125460,2023-08-18,4,2024-01-04,139.0,34.75
4130,ANON_1984,168264086,2024-01-04,6,2024-08-17,226.0,37.666666666666664
8165,ANON_1985,219670059,2024-09-03,12,2024-09-05,2.0,0.16666666666666666
8210,ANON_1985,220089282,2024-09-05,7,2025-04-26,233.0,33.285714285714285
2122,ANON_1987,133184663,2023-08-18,3,2024-01-07,142.0,47.333333333333336
2155,ANON_2013,133697192,2023-08-21,3,2023-09-07,17.0,5.666666666666667
2158,ANON_2016,133747407,2023-08-21,12,2025-09-01,742.0,61.833333333333336
2162,ANON_2019,133801950,2023-08-21,6,2024-12-11,478.0,79.66666666666667
2168,ANON_2024,133933396,2023-08-22,9,2024-01-07,138.0,15.333333333333334
2181,ANON_2036,134209730,2023-08-23,4,2024-07-05,317.0,79.25
7050,ANON_2036,207992430,2024-07-05,6,2024-07-07,2.0,0.3333333333333333
2196,ANON_2050,134495176,2023-08-24,7,2024-04-14,234.0,33.42857142857143
2203,ANON_2056,134610713,2023-08-25,3,2025-09-07,744.0,248.0
2225,ANON_2074,134886974,2023-08-26,7,2023-12-11,107.0,15.285714285714286
2226,ANON_2075,134896231,2023-08-26,11,2025-05-07,620.0,56.36363636363637
2243,ANON_2092,135191437,2023-08-28,6,2024-05-21,267.0,44.5
6395,ANON_2092,198315475,2024-05-21,6,2025-02-06,261.0,43.5
2245,ANON_2094,135229508,2023-08-28,7,2024-05-27,273.0,39.0
2247,ANON_2096,135271420,2023-08-28,3,2025-07-10,682.0,227.33333333333334
2255,ANON_2104,135387982,2023-08-29,2,2024-11-02,431.0,215.5
